Application No.,Scheme,TAC,TAC UEN,Event Title,Reco Title,Reco Subtitle,Reco Description,Reco Link,Capability Area,Sub Capability,Old Industry,Industry,Sub Industry,Markets,City,Region,Year of Event,Event Start Date,Event End Date,Cluster Division
TF23/SIOA/00001,LEAD Trade Fair,"SINGAPORE INSTITUTE OF ARCHITECTS, THE",S63SS0027H,9TH ARCHITECTURE & BUILDING SERVICES 2023,9TH ARCHITECTURE & BUILDING SERVICES 2024,"LEAD Trade Fair by SINGAPORE INSTITUTE OF ARCHITECTS, THE","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Architecture,Built Environment,Built Environment,Singapore,Singapore,Asia,2023,15/11/2023,17/11/2023,Infrastructure Services
TF23/SFA (Finte/00001,LEAD Trade Fair,SINGAPORE FINTECH ASSOCIATION,T16SS0197E,SINGAPORE FINTECH FESTIVAL 2023,SINGAPORE FINTECH FESTIVAL 2024,LEAD Trade Fair by SINGAPORE FINTECH ASSOCIATION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Financial Services,Business Services,Business Services,Singapore,Singapore,Asia,2023,15/11/2023,17/11/2023,"Info-Comm, Media"
TF23/SIAA/00007,LEAD Trade Fair,SINGAPORE INDUSTRIAL AUTOMATION ASSOCIATION (SIAA),S82SS0071C,AI ASIA INDUSTRIAL PARK EXPO - INDONESIA 2023,AI ASIA INDUSTRIAL PARK EXPO - INDONESIA 2024,LEAD Trade Fair by SINGAPORE INDUSTRIAL AUTOMATION ASSOCIATION (SIAA),"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Emergent Technologies,Urban Solutions,Urban Solutions,Indonesia,Cikarang,Asia,2023,22/11/2023,24/11/2023,Advanced Manufacturing
TF23/SWA/00010,LEAD Trade Fair,SINGAPORE WATER ASSOCIATION,T04SS0071D,SUSTAINABILITY ENVIRONMENT ASIA (SEA) 2023,SUSTAINABILITY ENVIRONMENT ASIA (SEA) 2024,LEAD Trade Fair by SINGAPORE WATER ASSOCIATION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Water treatment,Urban Solutions,Urban Solutions,Malaysia,Kuala Lumpur,Asia,2023,22/11/2023,24/11/2023,Urban Solutions & Infrastructure Svcs
TF23/SPETA/00005,LEAD Trade Fair,SINGAPORE PRECISION ENGINEERING AND TECHNOLOGY ASSOCIATION,S83SS0018E,METALEX,METALEX,LEAD Trade Fair by SINGAPORE PRECISION ENGINEERING AND TECHNOLOGY ASSOCIATION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Manufacturing,Precision Engineering,Manufacturing (Others),Thailand,Bangkok,Asia,2023,22/11/2023,25/11/2023,Advanced Manufacturing
TF23/SGA/00001,LEAD Trade Fair,SINGAPORE GLASS ASSOCIATION,S69SS0049G,GLASSTECH ASIA 2023,GLASSTECH ASIA 2024,LEAD Trade Fair by SINGAPORE GLASS ASSOCIATION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Building & Construction,Built Environment,Built Environment,Thailand,Thailand,Asia,2023,29/11/2023,1/12/2023,
TF23/ASME/00022,LEAD Trade Fair,ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,S86SS0026L,AUTOMECHANIKA SHANGHAI 2023,AUTOMECHANIKA SHANGHAI 2024,LEAD Trade Fair by ASSOCIATION OF SMALL & MEDIUM ENTERPRISES,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Automotive,Land Transport,Land Transport,China,Shanghai,Asia,2023,29/11/2023,2/12/2023,
TF22/SIA/00002,LEAD Trade Fair,"SEAFOOD INDUSTRIES ASSOCIATION, SINGAPORE",S88SS0105F,SEAFOOD EXPO NORTH AMERICA 2023,SEAFOOD EXPO NORTH AMERICA 2024,"LEAD Trade Fair by SEAFOOD INDUSTRIES ASSOCIATION, SINGAPORE","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Food & Beverage,Food Services,Food Services,United States,Boston,America,2023,3/12/2023,14/3/2023,Trade 2_Agri-Commodities & Consumer
TF23/SFMA/00004,LEAD Trade Fair,SINGAPORE FOOD MANUFACTURERS' ASSOCIATION,S66SS0053K,108 CHINA FOOD & DRINKS FAIR,108 CHINA FOOD & DRINKS FAIR,LEAD Trade Fair by SINGAPORE FOOD MANUFACTURERS' ASSOCIATION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Food & Beverage,Food Services,Food Services,China,Chengdu,Asia,2023,4/12/2023,14/4/2023,Food Manufacturing
TF23/SIAA/00004,LEAD Trade Fair,SINGAPORE INDUSTRIAL AUTOMATION ASSOCIATION (SIAA),S82SS0071C,PENANG MANUFACTURING EXPO (PMAX) 2023,PENANG MANUFACTURING EXPO (PMAX) 2024,LEAD Trade Fair by SINGAPORE INDUSTRIAL AUTOMATION ASSOCIATION (SIAA),"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut.",https://www.google.com,Internationalisation,"Expand Network, Publicity, Business Development",Manufacturing,Precision Engineering,Manufacturing (Others),Malaysia,Penang,Asia,2023,7/12/2023,14/7/2023,Advanced Manufacturing
